Title,launched_at,titleyear,usd_pledged,MinAge,log_playtime,AvgWeight
Tomorrow,1354848203,Tomorrow (2013),66820.47,18,4.499809670330265,2.6957
Dragon Slayer,1398096572,Dragon Slayer (2014),66740.92,14,2.70805020110221,1.0854
Dogs of War,1398455372,Dogs of War (2014),66703,14,4.31748811353631,2.6667
"...and then, we held hands.",1442520481,"...and then, we held hands. (2015)",66446,12,3.8066624897703196,1.75
Fallen City of Karez,1346851559,Fallen City of Karez (2012),66087,12,4.787491742782046,3.0345
Viticulture,1345779846,Viticulture (2013),65980.72,13,4.499809670330265,2.9328
Gruff,1430489008,Gruff (2015),65465.66,11,3.8066624897703196,3
Vault Wars,1425571245,Vault Wars (2015),65449,13,4.0943445622221,2.0882
Campaign Trail,1462285626,Campaign Trail (2017),65257.5,12,4.787491742782046,2.25
Coin Age,1386608870,Coin Age (2013),65195.42,8,2.70805020110221,1.3193
Dingo's Dreams,1439218676,Dingo's Dreams (2016),64285,8,3.4011973816621555,1.1538
Heavy Steam,1395941010,Heavy Steam (2015),64144,12,4.787491742782046,3.1
Space Race: The Card Game,1461771959,Space Race: The Card Game (2017),63826.81316737,13,4.0943445622221,3
Miskatonic School for Girls,1317914518,Miskatonic School for Girls (2012),63763.51,12,4.0943445622221,1.9184
Hold the Line: The American Revolution,1461425135,Hold the Line: The American Revolution (2016),63539.52,10,4.787491742782046,2
Pocket Odyssey,1399251622,Pocket Odyssey (2014),63412,12,4.787491742782046,2
Valeria: Card Kingdoms,1426003248,Valeria: Card Kingdoms (2016),63063,13,3.8066624897703196,1.9348
Belle of the Ball,1377274842,Belle of the Ball (2014),62983.27,13,3.8066624897703196,1.5
Nova Cry,1421679824,Nova Cry (2016),62716,12,4.499809670330265,1.5
Wizard's Academy,1426698035,Wizard's Academy (2016),62701.8037371,12,5.19295685089021,3.3333
Eminent Domain: Microcosm,1412790402,Eminent Domain: Microcosm (2014),61915.07,13,2.70805020110221,1.9
Amerigo,1367950943,Amerigo (2013),61193,10,4.499809670330265,3
Kiwetin,1484663612,Kiwetin (2017),61159.03303119,7,2.995732273553991,1.75
Incredible Expeditions: Quest for Atlantis,1375390101,Incredible Expeditions: Quest for Atlantis (2015),61152.01,12,4.787491742782046,2.6923
Shipwrights of the North Sea,1392170031,Shipwrights of the North Sea (2014),60986.3022663134,10,4.0943445622221,2.3721
Penny Press,1402421400,Penny Press (2015),60376.04,13,4.0943445622221,2.2333
The Convicted,1391022071,The Convicted (2014),60185,12,6.802394763324311,3.8462
Epic Dice Tower Defense,1472521534,Epic Dice Tower Defense (2016),60033,8,3.6888794541139363,2.5
Orcs Orcs Orcs,1410192002,Orcs Orcs Orcs (2014),59861,13,3.8066624897703196,2
Draconis Invasion,1447360538,Draconis Invasion (2016),59493.01614138,14,4.499809670330265,2.4286
A Duel Betwixt Us,1375265716,A Duel Betwixt Us (2014),59296.52,10,3.8066624897703196,1.6667
The Perfect Heist,1348087509,The Perfect Heist (2013),59251.99,14,4.0943445622221,2.25
VivaJava: The Coffee Game: The Dice Game,1371812460,VivaJava: The Coffee Game: The Dice Game (2014),59186.44,10,3.6888794541139363,1.7656
Herbaceous,1471954242,Herbaceous (2017),59032.53,8,2.995732273553991,1.2222
Something Different,1370754002,Something Different (2013),58766.58,13,3.4011973816621555,1.3333
The Goonies: Adventure Card Game,1458655994,The Goonies: Adventure Card Game (2016),58382,14,3.8066624897703196,1.6
Canterbury,1367379664,Canterbury (2013),58355.5,10,4.499809670330265,3.1
Victory and Glory: Napoleon,1447740154,Victory and Glory: Napoleon (2017),57782,10,5.886104031450156,3
Berserk: War of the Realms,1369653149,Berserk: War of the Realms (2013),57325.01,13,4.0943445622221,2.75
Hold Your Breath!,1385058692,Hold Your Breath! (2014),57321.92,6,2.995732273553991,1.5
[redacted],1407202189,[redacted] (2014),57053.05,12,3.8066624897703196,2.9211
Darkrock Ventures,1436871706,Darkrock Ventures (2016),56624,14,3.8066624897703196,2.4286
Monikers,1401294624,Monikers (2015),56591.93,18,4.0943445622221,1.1111
Fire of Eidolon,1468494202,Fire of Eidolon (2016),56280,14,3.8066624897703196,2
Slaughterball,1410880018,Slaughterball (2016),56180,14,4.0943445622221,2.5
VivaJava: The Coffee Game,1327467993,VivaJava: The Coffee Game (2012),56052.07,13,4.499809670330265,2.5067
I Hate Zombies,1414472493,I Hate Zombies (2015),55588.84,6,2.70805020110221,1
Ninja Dice,1379030098,Ninja Dice (2013),55294,9,3.4011973816621555,1.3056
World of Yo-Ho,1414594321,World of Yo-Ho (2016),55284,8,4.499809670330265,2.1111
Bring Your Own Book,1421950364,Bring Your Own Book (2015),55193.33,12,4.0943445622221,1.1429
Mouse Guard: Swords & Strongholds,1404835248,Mouse Guard: Swords & Strongholds (2015),55001,8,3.4011973816621555,1.6667
Dragon's Hoard,1359079867,Dragon's Hoard (2014),54950,8,3.8066624897703196,1.4468
Copper Country,1399993e3,Copper Country (2015),54581,14,4.0943445622221,2.7273
The Resistance: Avalon,1344903749,The Resistance: Avalon (2012),54445.37,13,3.4011973816621555,1.7788
PURGE: Sins of Science,1349127662,PURGE: Sins of Science (2012),54063,13,3.4011973816621555,2.4
Loop Inc.,1435071424,Loop Inc. (2015),53996,13,3.6888794541139363,2.5455
Robots on the Line,1393685946,Robots on the Line (2015),53982,10,3.8066624897703196,2.1
Clockwork Wars,1406771666,Clockwork Wars (2015),53335,13,4.499809670330265,3.0833
Cross Hares: Testing Ground,1385748516,Cross Hares: Testing Ground (2014),52978.31,10,4.0943445622221,1.8182
Garbage Day!,1441111804,Garbage Day! (2016),52945,10,3.4011973816621555,1
Dwarven Miner,1367445030,Dwarven Miner (2013),52679,12,3.4011973816621555,1.9
Centauri Saga,1446393646,Centauri Saga (2016),52518.695418761,12,4.499809670330265,3
Zephyr: Winds of Change,1459267187,Zephyr: Winds of Change (2017),52470,13,5.598421958998375,3.3333
Floating Market,1423492959,Floating Market (2015),52342,13,3.8066624897703196,1.5909
Xibalba,1460383200,Xibalba (2016),52310.94046986,12,4.0943445622221,2
The Duke,1338386621,The Duke (2013),52256.76,13,3.4011973816621555,2.5714
Best Treehouse Ever,1426856415,Best Treehouse Ever (2015),52132,8,2.995732273553991,1.4444
Lost Woods,1422896969,Lost Woods (2015),51912.84,12,4.0943445622221,1.4615
Heldentaufe,1455389992,Heldentaufe (2016),51630.6899113488,10,4.499809670330265,2.2
Star Realms,1380862597,Star Realms (2014),51481,12,2.995732273553991,1.9738
Flash Point: Fire Rescue,1311091496,Flash Point: Fire Rescue (2011),51398.7,10,3.8066624897703196,2.2064
Apex Theropod Deck-Building Game,1393889184,Apex Theropod Deck-Building Game (2015),51364,14,5.66988092298052,2.9565
Release!,1400619065,Release! (2014),50921.81,12,3.4011973816621555,1.7143
Star Traders,1456506386,Star Traders (2016),50850.1,7,5.19295685089021,2
Playing Lean,1430722889,Playing Lean (2015),50736.784364154,16,5.19295685089021,1
Total Extinction,1382454710,Total Extinction (2013),50204.12652483,13,4.499809670330265,3
Dawn: Rise of the Occulites,1380514371,Dawn: Rise of the Occulites (2014),50008,10,4.0943445622221,2.6667
Captains of Industry,1378995634,Captains of Industry (2015),49953,13,5.0106352940962555,3.775
Raid & Trade,1415028423,Raid & Trade (2015),49699,12,4.499809670330265,2.8333
The Ancient World,1394151758,The Ancient World (2014),49024.43,13,4.499809670330265,2.7391
Bloc by Bloc: The Insurrection Game,1460467368,Bloc by Bloc: The Insurrection Game (2016),49006,14,5.19295685089021,3
Shadows over the Empire,1379520809,Shadows over the Empire (2013),48981.5,12,3.4011973816621555,2.8095
Tsuro of the Seas,1337886475,Tsuro of the Seas (2012),48813.56,8,3.4011973816621555,1.4425
Damage Report,1346393100,Damage Report (2014),48642.05,10,3.8066624897703196,2.6316
Democracy: Majority Rules,1348776436,Democracy: Majority Rules (2013),48468.12,12,4.0943445622221,2.2
Province,1392140003,Province (2014),48339.53,13,3.2188758248682006,1.825
Amerika,1385611603,Amerika (2015),47936.1,12,4.787491742782046,3
Eaten by Zombies!,1313867544,Eaten by Zombies! (2011),47874.82,8,3.4011973816621555,2.0789
Lincoln's War,1364470444,Lincoln's War (2013),47538,18,5.19295685089021,3.0625
Guards of Atlantis: Tabletop MOBA,1452752975,Guards of Atlantis: Tabletop MOBA (2016),47273.5,12,4.787491742782046,3
Factory Funner,1441357246,Factory Funner (2016),47186.5767201,11,3.6888794541139363,2.4
Hostage Negotiator,1405454247,Hostage Negotiator (2015),47092.21,13,2.995732273553991,1.9718
Transylvania: Curses & Traitors,1398956446,Transylvania: Curses & Traitors (2015),46787.8,12,3.8066624897703196,2.2
Till Dawn,1395154938,Till Dawn (2014),46703,8,3.4011973816621555,1.4545
War of Kings,1392472347,War of Kings (2014),46658,13,4.787491742782046,3.2857
Cornish Smuggler,1369311423,Cornish Smuggler (2013),46601.47076608,13,4.787491742782046,3.1778
Urbanization,1338955242,Urbanization (2012),46365,12,4.31748811353631,2.8372
Wizards of the Wild,1426176005,Wizards of the Wild (2015),46291,10,3.4011973816621555,1.8824
Downsize,1458501370,Downsize (2016),46250.4579165349,10,3.6888794541139363,1.4
Paradox,1435328005,Paradox (2016),46208,10,4.787491742782046,2.4667
Game Developerz,1393247288,Game Developerz (2014),46056.3786517674,14,4.787491742782046,1.75
Get Off My Land!,1491839946,Get Off My Land! (2017),45774.83701504,14,4.0943445622221,3
Pay Dirt,1394643059,Pay Dirt (2014),45758.5,13,4.499809670330265,2.5778
Schrödinger's Cats,1421781973,Schrödinger's Cats (2015),45675.96,8,3.4011973816621555,1.4444
BrilliAnts,1448038782,BrilliAnts (2017),45561.9093969151,8,4.499809670330265,2.4
World's Fair 1893,1443535315,World's Fair 1893 (2016),45468,10,3.8066624897703196,1.9318
Mars Needs Mechanics,1346434998,Mars Needs Mechanics (2013),45340.65,10,3.8066624897703196,1.9677
Card Rogue,1471708790,Card Rogue (2016),44806,10,4.499809670330265,2
Skulldug!,1429023666,Skulldug! (2015),44784,13,4.499809670330265,2
The New Science,1347814090,The New Science (2013),44725.62,12,4.499809670330265,2.6393
City of Iron,1344986398,City of Iron (2013),44703,13,4.787491742782046,3.2143
City,1344986398,City (2014),44703,12,4.0943445622221,2.8
Castle Dice,1348758215,Castle Dice (2013),44581.6,10,3.8066624897703196,2.2759
Exoplanets,1432223404,Exoplanets (2015),44021,12,4.0943445622221,2.3667
DEER LORD!,1446538499,DEER LORD! (2015),43947.238753145,12,4.499809670330265,1.6667
A.D.A.P.T.,1453222835,A.D.A.P.T. (2016),43816,7,3.6888794541139363,3
Side Quest,1445930535,Side Quest (2016),43715.1937194,8,4.787491742782046,2
Velociraptor! Cannibalism!,1329796141,Velociraptor! Cannibalism! (2013),43619.69,8,4.0943445622221,1.8571
Fantasy Frontier,1377786992,Fantasy Frontier (2014),43613,13,4.0943445622221,2.5
Spheres of Influence: Struggle for Global Supremacy,1433258628,Spheres of Influence: Struggle for Global Supremacy (2016),43268,14,4.499809670330265,2.2778
Cthulhu's Vault,1397604779,Cthulhu's Vault (2015),42923.41,10,3.8066624897703196,1.25
We Are Dead: Zombie Mall Massacre,1349827986,We Are Dead: Zombie Mall Massacre (2014),42790.83,13,4.0943445622221,1.6
Zogar's Gaze,1357696843,Zogar's Gaze (2013),42704.55,12,3.6888794541139363,1.3636
Far Space Foundry,1425401442,Far Space Foundry (2015),42496,10,4.382026634673881,2.6923
Eight-Minute Empire: Legends,1368648594,Eight-Minute Empire: Legends (2013),41792,13,3.4657359027997265,1.979
Kings of Air and Steam,1320076792,Kings of Air and Steam (2013),41722,13,4.499809670330265,2.8298
Ninja Camp,1437395081,Ninja Camp (2016),41353,14,3.4011973816621555,1.619
Pixie Queen,1473415171,Pixie Queen (2017),41316.8803441932,12,4.787491742782046,3.3
Pixel Lincoln: The Deckbuilding Game,1338911189,Pixel Lincoln: The Deckbuilding Game (2013),41229.01,10,3.8066624897703196,1.8182
Hoplomachus: Origins,1429196199,Hoplomachus: Origins (2015),41166,12,3.4011973816621555,2.7143
Guts of Glory,1346255125,Guts of Glory (2012),41144.67,8,3.4011973816621555,1.7143
Tavern Brawl,1405879631,Tavern Brawl (2014),40850.01,8,2.70805020110221,1.5
Chicken Caesar,1328482788,Chicken Caesar (2012),40780.77,12,4.499809670330265,2.7568
Lunarchitects,1447162201,Lunarchitects (2016),40449,13,4.0943445622221,2.5714
Antimatter Matters,1371236176,Antimatter Matters (2013),40289,11,3.8066624897703196,1.4286
Relic Expedition,1364137114,Relic Expedition (2014),40253.5,10,4.0943445622221,2.3571
Fujian Trader,1423667333,Fujian Trader (2016),40032.5,12,5.19295685089021,2
Evil Intent,1360619965,Evil Intent (2014),39643,12,4.0943445622221,2.4545
Village in a Box,1389830422,Village in a Box (2013),39567.02,12,2.70805020110221,1.3333
Code Monkey Island,1399463376,Code Monkey Island (2014),39503.6,6,3.8066624897703196,1.5
Tribes: Early Civilization,1489136432,Tribes: Early Civilization (2017),39426.6391818,12,3.6888794541139363,2.75
Castle Assault,1468333029,Castle Assault (2015),39419,13,4.0943445622221,2.7143
Pirate Den,1394463617,Pirate Den (2015),39352.75,14,3.4011973816621555,1.3333
Fidelitas,1406894491,Fidelitas (2015),39267.08,10,3.4011973816621555,1.7667
Slaughterville,1434333977,Slaughterville (2015),39237,14,4.787491742782046,2.5
Phoenix Covenant,1413031297,Phoenix Covenant (2017),39153.05,14,4.499809670330265,3.75
Revenge of the Dictators,1459269027,Revenge of the Dictators (2016),39143.577663216,13,4.653960350157523,2.25
Lords of War: Templars versus Undead,1383635690,Lords of War: Templars versus Undead (2014),38962.14321461,12,3.4011973816621555,2.3333
Kill Shakespeare,1392797228,Kill Shakespeare (2014),38585,13,5.19295685089021,3.5
Dice of Crowns,1464707128,Dice of Crowns (2016),38536,8,2.995732273553991,1.3333
Pack of Heroes,1374664001,Pack of Heroes (2014),38339,10,2.995732273553991,2
Covalence: A Molecule Building Game,1444116262,Covalence: A Molecule Building Game (2016),38317,8,3.6888794541139363,1.25
Swinging Jivecat Voodoo Lounge,1420559361,Swinging Jivecat Voodoo Lounge (2016),38304,21,4.0943445622221,2.625
The Presidential,1328974704,The Presidential (2012),38208,11,3.8066624897703196,1.75
Karnivore Koala,1431399006,Karnivore Koala (2015),38185.3497107,12,3.4011973816621555,1.375
Tiki,1488391160,Tiki (2017),38003.07543561,8,2.995732273553991,2
Meteor,1412094645,Meteor (2014),37627,12,2.70805020110221,1.8824
Battle For Souls,1354730402,Battle For Souls (2013),37592,14,4.0943445622221,2.3396
Beowulf: A Board Game,1401730249,Beowulf: A Board Game (2015),37580,14,4.499809670330265,3
Paperback,1371139203,Paperback (2014),37493.77,8,3.8066624897703196,2.0058
House of Borgia,1455534028,House of Borgia (2017),37319.52,14,3.4011973816621555,2
Salvation Road,1431354387,Salvation Road (2016),37289,10,4.31748811353631,2.3333
Trekking the National Parks,1404919226,Trekking the National Parks (2014),37230,8,4.0943445622221,1.8333
Empires at Sea,1432464472,Empires at Sea (2016),37199,14,4.867534450455582,2.6364
The Great Dinosaur Rush,1443884554,The Great Dinosaur Rush (2016),37063,10,4.0943445622221,2.1429
Monstrous,1433862553,Monstrous (2016),37043,10,3.4011973816621555,1.5
Asking for Trobils,1406535245,Asking for Trobils (2015),36944.5,12,4.499809670330265,2.0625
Sunrise City,1314681657,Sunrise City (2012),36891.5,10,4.0943445622221,2.3333
Xtronaut: The Game of Solar System Exploration,1442065669,Xtronaut: The Game of Solar System Exploration (2016),36873,7,4.0943445622221,1.3333
Tides of Infamy,1430917068,Tides of Infamy (2015),36849,13,4.0943445622221,2.3333
Coven,1417444475,Coven (2015),36841,14,4.0943445622221,2.5
Cartography,1413291072,Cartography (2015),36693.06,10,2.995732273553991,2
Techno Bowl: Arcade Football Unplugged,1473685250,Techno Bowl: Arcade Football Unplugged (2016),36600,13,4.787491742782046,2
Dreary Hamlet,1445997719,Dreary Hamlet (2016),36543.36353478,7,4.499809670330265,2.3333
Albion's Legacy,1400257760,Albion's Legacy (2015),36511.82879337,14,4.499809670330265,3.3333
Parfum,1424969649,Parfum (2015),36436,8,3.8066624897703196,2.1064
Scrapyard Empire,1402321111,Scrapyard Empire (2014),36201.5,12,3.4011973816621555,2.5
Conquest of Speros,1396898199,Conquest of Speros (2015),36143,10,3.4011973816621555,2.125
Brewin' USA,1424279061,Brewin' USA (2015),36078,13,4.0943445622221,2.1818
Hands in the Sea,1424717007,Hands in the Sea (2016),35874,14,4.787491742782046,3
404: Law Not Found,1378742455,404: Law Not Found (2013),35741.58867398,12,4.0943445622221,2.3636
Gauntlet of Fools,1344989993,Gauntlet of Fools (2012),35695,13,3.4011973816621555,1.4853
Dreaming Spires,1381101599,Dreaming Spires (2014),35551.89,10,4.499809670330265,3
Zeppelin Attack!,1390875099,Zeppelin Attack! (2014),35524.6,12,3.8066624897703196,2.3182
Periorbis,1429383615,Periorbis (2015),35510.719087295,13,4.787491742782046,3.8333
The Great Heartland Hauling Co.,1343793558,The Great Heartland Hauling Co. (2013),35218.22,10,3.4011973816621555,1.8737
Deal: American Dream,1432713699,Deal: American Dream (2015),35143.693898699,16,4.499809670330265,3
Overlords of Infamy,1455721204,Overlords of Infamy (2016),35076,13,4.499809670330265,3
Redshirts,1349098615,Redshirts (2012),34686.33,12,3.4011973816621555,1.4348
Maha Yodha,1399467820,Maha Yodha (2014),34624.5,12,2.995732273553991,2.1429
Supremacy 2020,1392317759,Supremacy 2020 (2015),34536,12,4.787491742782046,3.5
The Opulent,1454428908,The Opulent (2016),34527,16,4.499809670330265,1.8333
Omen: A Reign of War,1323315763,Omen: A Reign of War (2011),34443.01,12,3.4011973816621555,2.3483
Carnival,1313553642,Carnival (2011),34436.65,13,3.4011973816621555,1.5312
Eternal Dynasty,1389729625,Eternal Dynasty (2015),34194.73,13,4.499809670330265,3
Snowblind: Race for the Pole,1459270597,Snowblind: Race for the Pole (2016),34194,10,4.0943445622221,2
Eight-Minute Empire,1349940706,Eight-Minute Empire (2012),34010,13,2.995732273553991,1.6282
How To Serve Man,1423440094,How To Serve Man (2016),33901.66,10,4.0943445622221,2
Burger Up,1445684397,Burger Up (2016),33888.5624509,9,3.4011973816621555,1.7778
The Lords of Rock,1470072087,The Lords of Rock (2016),33850.58,8,3.8066624897703196,1.25
Norsaga,1427716442,Norsaga (2015),33836,8,3.4011973816621555,1.875
Waggle Dance,1401210451,Waggle Dance (2014),33780.57331998,10,4.499809670330265,2.3585
Lanterns: The Harvest Festival,1412690002,Lanterns: The Harvest Festival (2015),33523,8,3.4011973816621555,1.5862
Sakura,1395985647,Sakura (2014),33463.03,12,3.4011973816621555,2
Yardmaster,1403615568,Yardmaster (2014),33286.41,8,2.995732273553991,1.254
Grimslingers,1425401940,Grimslingers (2015),33198.910342458,14,4.499809670330265,2.6667
The Shadow Over Westminster,1402688031,The Shadow Over Westminster (2015),33165.84,14,4.0943445622221,2.6
Dragon Punch,1430247842,Dragon Punch (2014),32661.84921994,12,2.302585092994046,1.4615
Arkham Ritual,1486490402,Arkham Ritual (2017),32365,8,2.70805020110221,1
Town Center (4th edition),1393202119,Town Center (4th edition) (2014),32314,12,3.4011973816621555,3.25
Dungeon Roll,1383573666,Dungeon Roll (2013),32283.45,8,2.70805020110221,1.3396
Kings of Israel,1382893339,Kings of Israel (2014),32248,14,3.8066624897703196,2.48
Gear & Piston,1366375908,Gear & Piston (2013),32188,8,3.4011973816621555,2.1379
Skyway Robbery,1409065275,Skyway Robbery (2015),32121,12,4.0943445622221,2.6667
Unknown,1396967845,Unknown (2015),32105,14,3.8066624897703196,3.1
Tavarua,1446570022,Tavarua (2016),32104,13,4.0943445622221,2.2
Dragon Whisperer,1360163447,Dragon Whisperer (2013),31988,10,3.4011973816621555,1.625
Disturbed Friends,1453248034,Disturbed Friends (2015),31921.8749009145,18,4.499809670330265,1
Web of Spies,1413391947,Web of Spies (2014),31851,14,4.0943445622221,2
Shadow of the Sun,1351055945,Shadow of the Sun (2013),31837.5,10,3.4011973816621555,2
Lyssan,1308389099,Lyssan (2012),31632.25,12,5.19295685089021,3.6667
The Lost Dutchman,1337842904,The Lost Dutchman (2013),31577,13,3.8066624897703196,2
Lap Dance,1415632818,Lap Dance (2014),31524,18,3.8066624897703196,1.9167
Four Tribes,1389142893,Four Tribes (2013),31452,8,3.4011973816621555,1.9
Hocus,1435247162,Hocus (2016),31403,10,3.4011973816621555,2.3125
Foretold: Rise of a God,1395333418,Foretold: Rise of a God (2014),31348.34,12,4.0943445622221,3.1429
Random Encounters,1437393341,Random Encounters (2015),31206.99,14,4.787491742782046,1.5
For The Win,1326556365,For The Win (2012),31085.08,8,2.302585092994046,1.7667
Get Laid!,1447949549,Get Laid! (2016),30684.79232275087,18,3.4011973816621555,2
The Cloud Dungeon,1441112117,The Cloud Dungeon (2015),30446.99,7,4.787491742782046,1
Titans of Industry,1333731541,Titans of Industry (2013),30388,13,4.499809670330265,2.7143
Cthulhu: A Deck Building Game,1454137717,Cthulhu: A Deck Building Game (2016),30382,14,4.787491742782046,3
Hunters of Arcfall,1368830973,Hunters of Arcfall (2014),30294,8,3.4011973816621555,1.4737
Startup Fever,1302330897,Startup Fever (2012),30287.32,14,4.787491742782046,2.6667
Bad Medicine,1423760378,Bad Medicine (2015),30130,16,3.4011973816621555,1.5
NOVUS,1380306091,NOVUS (2014),30106,12,3.8066624897703196,3
Bullfrogs,1396465852,Bullfrogs (2015),30105,8,3.6888794541139363,1.8462
This Town Ain't Big Enough for the 2-4 of Us,1391448975,This Town Ain't Big Enough for the 2-4 of Us (2014),30061.8,8,2.70805020110221,1.36
Borogove,1313860597,Borogove (2011),30033.52,6,3.4011973816621555,1
Upon a Fable,1365767784,Upon a Fable (2013),29724.01,13,4.0943445622221,2.4615
Agility,1443015091,Agility (2016),29467,10,3.8066624897703196,2
High Heavens,1391781537,High Heavens (2015),29450,8,4.31748811353631,2.2
Prime Time,1439385050,Prime Time (2015),29424,13,4.787491742782046,3.5
Magicka Mayhem: The Card Game,1458077585,Magicka Mayhem: The Card Game (2016),29418.34,7,3.4011973816621555,2
Civility,1368680581,Civility (2014),29358,12,4.499809670330265,2.8333
Airborne Commander,1425401970,Airborne Commander (2015),29228,10,3.4011973816621555,2.0357
Dead Drop,1412165045,Dead Drop (2015),29223.22,13,2.302585092994046,1.7391
Aetherium,1396328584,Aetherium (2014),29176,12,4.0943445622221,3
Hoplomachus: Rise of Rome,1360972937,Hoplomachus: Rise of Rome (2013),28939,12,3.4011973816621555,2.5714
Ghostel,1453838567,Ghostel (2017),28764.7650811776,12,4.0943445622221,2
Unreal Estate,1474387212,Unreal Estate (2017),28574,8,2.995732273553991,1.6667
Ophir,1402604198,Ophir (2015),28565,10,4.0943445622221,2.1304
JunKing,1428325316,JunKing (2015),28519,7,4.0943445622221,1.5
Tortuga,1390608163,Tortuga (2014),28490.42,8,3.5553480614894135,1.8421
What's He Building in There?,1365086915,What's He Building in There? (2013),28412,12,4.0943445622221,3.3333
Hull Breach: Corporate Wars,1359686508,Hull Breach: Corporate Wars (2014),28344.17,13,4.0943445622221,2.5
Creative Clash,1395151504,Creative Clash (2014),28261.99,12,3.4011973816621555,1.6667
"Minuit, Meurtre en Mer",1488269422,"Minuit, Meurtre en Mer (2017)",28128.3844996,12,4.499809670330265,3
Eschaton,1470332277,Eschaton (2016),28107,9,5.19295685089021,2.5
"Dwarves: Dig, Delve, Die",1484663437,"Dwarves: Dig, Delve, Die (2017)",28052,13,3.4011973816621555,2
CitiesUP,1450805959,CitiesUP (2016),28021.9785286,10,4.499809670330265,2.5
Council of Blackthorn,1454343540,Council of Blackthorn (2016),27961,13,4.499809670330265,2.1429
Strife: Legacy of the Eternals,1412171865,Strife: Legacy of the Eternals (2014),27904.01,13,4.0943445622221,2.4444
1862: Railway Mania in the Eastern Counties,1372591279,1862: Railway Mania in the Eastern Counties (2013),27862.85854296,12,5.703782474656201,4.3462
Leningrad '41,1479326422,Leningrad '41 (2017),27858.52514382,10,5.298317366548036,3
Epic Death!,1368044841,Epic Death! (2014),27800,12,3.4011973816621555,2.0909
Pirates! Card Game,1397331008,Pirates! Card Game (2014),27768.5057419,12,3.4011973816621555,2.1111
Road to Enlightenment,1336168676,Road to Enlightenment (2012),27684.67,12,5.0106352940962555,3.2
Ancient Terrible Things,1371565531,Ancient Terrible Things (2014),27675,14,4.0943445622221,2.0469
