Title,launched_at,titleyear,usd_pledged,MinAge,log_playtime,AvgWeight
The Cards of Cthulhu,1375748985,The Cards of Cthulhu (2014),27613,10,4.0943445622221,1.8667
Ruse,1351181510,Ruse (2014),27587.25,10,3.4011973816621555,1.1765
King's Champion,1490873811,King's Champion (2017),27576,14,4.499809670330265,3.6667
Manifest,1393883973,Manifest (2014),27385.55248399,13,3.8066624897703196,2.8
Armymals,1405618078,Armymals (2014),27356,9,3.8066624897703196,2.25
Council of Verona,1370360944,Council of Verona (2013),27354.57,13,2.995732273553991,1.3509
Queen's Architect,1426702814,Queen's Architect (2015),27164,10,4.0943445622221,2.7447
"Goblins Drool, Fairies Rule!",1337104951,"Goblins Drool, Fairies Rule! (2013)",27127.84,7,2.70805020110221,1.0784
Jungle Ascent,1347018853,Jungle Ascent (2013),27047.53,8,3.4011973816621555,1.5714
Expedition: Famous Explorers,1362525377,Expedition: Famous Explorers (2013),27011,13,4.499809670330265,1.9615
YOU are the Maniac!,1349111316,YOU are the Maniac! (2012),27e3,13,3.4011973816621555,2.2
Cthulhu: The Great Old One,1391147949,Cthulhu: The Great Old One (2014),26947,8,2.70805020110221,1.3333
Cycling Party,1414058357,Cycling Party (2014),26886,10,4.0943445622221,2.1
The Butterfly Garden,1456246803,The Butterfly Garden (2016),26854,8,3.6888794541139363,1.3333
Mixtape Massacre,1428501324,Mixtape Massacre (2016),26851,17,4.499809670330265,1
Roots: A Game of Inventing Words,1413900530,Roots: A Game of Inventing Words (2015),26709.01,12,3.4011973816621555,1
Rise to Power,1398510077,Rise to Power (2014),26694.36122336,12,3.8066624897703196,2.375
Iron & Ale,1383832178,Iron & Ale (2014),26677,21,3.4011973816621555,1.5
Francis Drake,1365461839,Francis Drake (2013),26596,14,4.787491742782046,2.9204
Cauldron,1430312420,Cauldron (2015),26565.19704583,11,4.499809670330265,2.4444
Last Starfleet,1421676170,Last Starfleet (2015),26552,13,4.499809670330265,2.2
Surviving: One month in,1427604959,Surviving: One month in (2015),26515.2078736,11,4.499809670330265,2
Roots of Mali,1468951282,Roots of Mali (2016),26499.39486165,12,3.4011973816621555,3
The Siblings Trouble,1429016423,The Siblings Trouble (2015),26275,8,3.4011973816621555,2
Lords & Ladies,1378472535,Lords & Ladies (2014),26274.26,10,4.0943445622221,1.6154
Greed,1393901665,Greed (2014),26208,10,3.4011973816621555,2.0123
Pirates vs. Dinosaurs,1355465312,Pirates vs. Dinosaurs (2013),26062,11,4.499809670330265,2.1429
Corrupted Kingdoms,1455080515,Corrupted Kingdoms (2016),26044,14,4.0943445622221,1.5
Battleborn Legacy,1458644456,Battleborn Legacy (2017),26042,14,5.19295685089021,3
Temp Worker Assassins,1467110766,Temp Worker Assassins (2016),25978.89649784,14,4.0943445622221,2.5
Salt & Burn,1374705127,Salt & Burn (2013),25878,10,4.0943445622221,1
Princes of the Dragon Throne,1370637451,Princes of the Dragon Throne (2014),25816,14,4.787491742782046,3
Operation F.A.U.S.T.,1413805739,Operation F.A.U.S.T. (2015),25747,13,3.4011973816621555,1.8421
Kombat Kittens,1391123908,Kombat Kittens (2014),25650.43,9,2.995732273553991,1.5
Thrash'n Roll,1432953379,Thrash'n Roll (2015),25479.89526344,12,4.499809670330265,3.1667
Biergarten,1452609044,Biergarten (2016),25354.52,12,2.995732273553991,2
Formula E,1357609627,Formula E (2014),25325,8,4.0943445622221,1.5
Farmageddon,1328108468,Farmageddon (2012),25274.67,14,3.4011973816621555,1.62
Foe Hunters,1434036519,Foe Hunters (2016),25261,12,4.499809670330265,2.5
Goblin's Breakfast,1421766336,Goblin's Breakfast (2015),25243.84,8,2.70805020110221,1.4615
Star Patrol,1438449366,Star Patrol (2015),25206,12,4.0943445622221,2
VENOM Assault,1455030019,VENOM Assault (2016),25192.52,13,4.787491742782046,3
Nautilus Industries,1407423518,Nautilus Industries (2015),25168.48811769,8,4.0943445622221,2.4167
Musée,1406163778,Musée (2014),25022,8,3.4011973816621555,1.1818
Sherlock Holmes and Moriarty's Web,1472670652,Sherlock Holmes and Moriarty's Web (2016),25015,10,3.8066624897703196,2
Salmon Run,1346252457,Salmon Run (2013),24993,10,3.8066624897703196,1.8158
"Artifacts, Inc.",1416250654,"Artifacts, Inc. (2015)",24935.01,13,4.0943445622221,2.1829
Bucket of Doom,1410940894,Bucket of Doom (2014),24904.2868101314,18,3.4011973816621555,1
Elevenses,1384771951,Elevenses (2013),24861.2626719036,10,3.4011973816621555,1.3774
Ace Detective,1339173588,Ace Detective (2013),24789,14,4.0943445622221,2.2
Defenders of the Realm: Battlefields,1335161338,Defenders of the Realm: Battlefields (2012),24507.4,13,3.4011973816621555,2.1667
Dark Age Z,1411398118,Dark Age Z (2015),24503.02,12,4.499809670330265,3.1429
Dragon's Ransom,1412907928,Dragon's Ransom (2015),24447,8,3.4011973816621555,1.6667
Spy or Die Trying,1366658131,Spy or Die Trying (2013),24387.97775536,12,4.0943445622221,3
Ruddy Vikings,1429606835,Ruddy Vikings (2015),24234.1324771,6,3.6888794541139363,1
End of the Line,1455555535,End of the Line (2016),24173.65,13,4.382026634673881,2
Tahiti,1336683236,Tahiti (2012),24148.28,13,4.0943445622221,1.9118
Argonauts,1434655128,Argonauts (2015),24069,10,4.0943445622221,2.0714
The Hen Commandments,1415103602,The Hen Commandments (2015),23993.85506975,15,3.8066624897703196,2
Spurs: A Tale in the Old West,1389018973,Spurs: A Tale in the Old West (2014),23902,13,4.499809670330265,2.3571
Don't Turn Your Back,1422928445,Don't Turn Your Back (2015),23863,13,4.0943445622221,2.5
Omiga,1490704746,Omiga (2017),23772.23262687,6,1.6094379124341003,1
Biblios Dice,1417536672,Biblios Dice (2015),23685,8,3.4011973816621555,1.5714
Outer Earth,1413469407,Outer Earth (2013),23663.120336075,13,4.0943445622221,2.3333
Tiger Leader,1414630930,Tiger Leader (2015),23661,14,4.0943445622221,3.0909
Cuisine a la Card,1428676096,Cuisine a la Card (2016),23592,13,3.8066624897703196,2
Brass Empire,1443533877,Brass Empire (2016),23585,10,4.0943445622221,2
Fantastiqa,1340239304,Fantastiqa (2012),23580.73,8,4.0943445622221,2.3889
Project Dreamscape,1424105993,Project Dreamscape (2015),23577,10,3.4011973816621555,1.75
Edo,1332296404,Edo (2012),23534,12,4.0943445622221,2.951
Cosmic Run,1427126529,Cosmic Run (2015),23527,8,3.4011973816621555,1.375
COGZ,1417276948,COGZ (2015),23523,8,3.4011973816621555,2.0588
Hirelings: The Ascent,1344969366,Hirelings: The Ascent (2012),23499,7,3.4011973816621555,2
Foodfighters,1435881643,Foodfighters (2015),23431.4357121292,8,3.4011973816621555,1
RESISTOR_,1425396410,RESISTOR_ (2015),23346,8,2.995732273553991,2.1111
Peasant Buffet,1392508742,Peasant Buffet (2015),23335.23,8,2.70805020110221,1.3333
IncrediBrawl,1373293769,IncrediBrawl (2014),23267.25,8,3.4011973816621555,1.6667
Stormweavers,1443464665,Stormweavers (2016),23241,14,3.912023005428146,2.75
Inhabit the Earth,1445373279,Inhabit the Earth (2015),23224,14,4.499809670330265,3.1905
Carmarace,1374160386,Carmarace (2014),23150,8,4.499809670330265,2.75
Fallen Angel,1465648990,Fallen Angel (2017),23139.16504632,10,5.19295685089021,3.4286
Alkemia,1470318048,Alkemia (2017),23001.01,14,4.787491742782046,3
City Council,1381872757,City Council (2013),23e3,12,4.0943445622221,3.0263
Wizard's Brew,1359442208,Wizard's Brew (2013),22952,13,4.31748811353631,1.9167
Commissioned,1433332844,Commissioned (2016),22891,13,4.0943445622221,2.6842
Stellar Armada,1473940542,Stellar Armada (2017),22885,13,2.995732273553991,1
Tasnia,1366156837,Tasnia (2013),22739,8,3.8066624897703196,2.2857
EONS,1390199630,EONS (2013),22661.01,14,4.499809670330265,2.7
PBL Robots,1414105299,PBL Robots (2015),22645,12,4.0943445622221,1.6
Nightlight,1407775287,Nightlight (2014),22614,12,3.4011973816621555,1.2
What the Food?!,1368138398,What the Food?! (2013),22601.08,8,3.4011973816621555,1.6
Professor Pugnacious,1352022166,Professor Pugnacious (2013),22598,14,3.8066624897703196,2.1667
Island Dice,1421766063,Island Dice (2015),22598,12,4.0943445622221,2
Promised Land: 1250-587 BC,1368461997,Promised Land: 1250-587 BC (2013),22487.9956992,12,5.0106352940962555,2.9565
Scuba,1452783656,Scuba (2016),22331.04317145,8,4.0943445622221,1.3333
Brides & Bribes,1473264082,Brides & Bribes (2016),22286.829853384,12,4.499809670330265,3
Railroads,1403720879,Railroads (2014),22025,14,4.787491742782046,3
Samara,1431365876,Samara (2015),21984.31566115,10,3.912023005428146,2.1667
The Guardians: Explore,1442338047,The Guardians: Explore (2016),21981,13,4.499809670330265,3.2222
RARRR!!,1381706976,RARRR!! (2014),21869.6,8,4.0943445622221,1.7273
Rockwell,1370733340,Rockwell (2013),21852,14,4.499809670330265,3.1951
Siege of Sunfall,1455066006,Siege of Sunfall (2016),21801,10,3.8066624897703196,2
Start Player Express,1403010272,Start Player Express (2014),21712,8,0,1.1538
Immortal,1435066757,Immortal (2017),21358,10,4.499809670330265,2.3333
Speakeasy,1404227522,Speakeasy (2015),21340,14,4.31748811353631,3
Strategy of War,1344206704,Strategy of War (2012),21318.01,13,2.995732273553991,3.5
Cosmic Pioneers,1463156287,Cosmic Pioneers (2016),21299,13,4.0943445622221,2
Slash: Romance without boundaries,1383825344,Slash: Romance without boundaries (2013),21264.2,14,3.8066624897703196,1.1667
Rolling Freight,1298146934,Rolling Freight (2012),21186,13,5.19295685089021,3.0364
DRCongo,1420616739,DRCongo (2015),21145.51426336,14,4.787491742782046,3.5455
Ace of Spies,1337604933,Ace of Spies (2012),21054,10,3.4011973816621555,1.6429
Roadkill Rivals,1437390101,Roadkill Rivals (2015),21040.38,13,3.2188758248682006,1.75
Mob Town,1391176794,Mob Town (2013),21017.77,8,3.4011973816621555,1.6667
Forged in Steel,1420512018,Forged in Steel (2016),20998,13,4.787491742782046,3.5833
Game of Blame,1466434420,Game of Blame (2016),20951.8230516624,9,3.4011973816621555,2
Collapse,1412393715,Collapse (2015),20908.84,8,2.995732273553991,2.3333
Ars Victor,1367693788,Ars Victor (2013),20881.01,13,4.0943445622221,2.3684
Masters of the Gridiron,1390243169,Masters of the Gridiron (2014),20826.56,8,2.70805020110221,1.7778
Pretense,1422451842,Pretense (2015),20726.5,7,5.886104031450156,1.0833
Battle Merchants,1378223407,Battle Merchants (2014),20680,10,4.787491742782046,2.8824
DragonFlame,1415107882,DragonFlame (2014),20585,13,3.4011973816621555,1.7895
Burgoo,1389120724,Burgoo (2014),20505.28,10,2.70805020110221,1.2439
Swamped,1430919530,Swamped (2016),20504,13,3.4011973816621555,1.75
Dragon Racer,1416265342,Dragon Racer (2015),20462.49728556,13,4.787491742782046,2
oddball Aeronauts 2: Double the Trouble,1415177501,oddball Aeronauts 2: Double the Trouble (2015),20322.208036218,9,2.995732273553991,1.8
Shadow Days,1330061015,Shadow Days (2012),20271.84,13,3.4011973816621555,1.5
Byzantio,1374260310,Byzantio (2013),20261,10,4.0943445622221,2.2105
Among Nobles,1425929735,Among Nobles (2015),20250.26445845,14,4.787491742782046,2.8065
Stones of Fate,1392872424,Stones of Fate (2015),20223,12,3.4011973816621555,1.6667
Gothic Doctor,1404223226,Gothic Doctor (2015),20214,12,3.2188758248682006,1.9
Cul-De-Sac Conquest,1444953670,Cul-De-Sac Conquest (2016),20049,14,4.0943445622221,1.3333
Island Fortress,1321659917,Island Fortress (2013),19829,13,4.499809670330265,2.9231
Dark Mages,1446152037,Dark Mages (2016),19650.0423108,13,4.0943445622221,2
Street Kings,1452625822,Street Kings (2016),19523.31,8,4.787491742782046,2.2
New Salem,1407645036,New Salem (2015),19492,14,3.8066624897703196,1.5882
Foragers,1436975965,Foragers (2016),19324,8,4.382026634673881,2.0909
Railways Express,1367448503,Railways Express (2013),19246,7,4.0943445622221,1.6667
Dice Crawl,1386115610,Dice Crawl (2014),19216,10,3.4011973816621555,2
Jailbreakers: Plan Your Escape,1434988792,Jailbreakers: Plan Your Escape (2015),19201,10,3.8066624897703196,2
Roar-a-Saurus,1409059669,Roar-a-Saurus (2014),19161.41,8,2.70805020110221,1.2308
Zong Shi,1318328008,Zong Shi (2012),19110,13,4.499809670330265,2.5517
Omen: Edge of the Aegean,1478570536,Omen: Edge of the Aegean (2016),19045,10,3.4011973816621555,2
Witch Hunt,1366246214,Witch Hunt (2016),19041,13,4.499809670330265,2.25
Wanted: The Outlaws,1405339175,Wanted: The Outlaws (2014),19025.66,10,3.4011973816621555,1.5
Blurble,1331077341,Blurble (2013),18979.36,6,3.4011973816621555,1.3333
Night of Man,1418235801,Night of Man (2015),18948,12,4.0943445622221,2.8333
Fleet Wharfside,1437397637,Fleet Wharfside (2015),18947,13,3.4011973816621555,1.7692
Gondola,1470844861,Gondola (2016),18924,8,4.0943445622221,1.5
Trenton 1776,1427564423,Trenton 1776 (2015),18915,10,4.787491742782046,1.8
BetaBotz,1470146404,BetaBotz (2017),18691,10,4.0943445622221,2
Thrash-Car,1383051436,Thrash-Car (2014),18677,10,4.0943445622221,3.4
Buccaneer Bones,1380672302,Buccaneer Bones (2013),18602,8,2.70805020110221,1.0682
Ruckus: The Goblin Army Game,1386781265,Ruckus: The Goblin Army Game (2014),18505,8,2.995732273553991,2.2857
Game of Energy,1469545226,Game of Energy (2016),18353,14,4.0943445622221,2
Prospectus,1444836972,Prospectus (2016),18317,8,5.19295685089021,2.5
Eggs and Empires,1397491239,Eggs and Empires (2014),18298,8,3.2188758248682006,1.3
Island Siege,1359824539,Island Siege (2013),18294,13,3.8066624897703196,1.9167
Creature College,1443045587,Creature College (2016),18151.5557021578,8,3.8066624897703196,2.1667
Horrible Hex,1421247645,Horrible Hex (2015),18088,12,3.4011973816621555,1
Virgin Seas,1441756853,Virgin Seas (2016),18083,8,3.6888794541139363,2
The Card Game of Oz,1360900169,The Card Game of Oz (2014),18011,14,2.995732273553991,1.3333
Pests!,1487687401,Pests! (2017),18003,10,4.31748811353631,2
Road To Infamy,1443733215,Road To Infamy (2016),18e3,12,3.8066624897703196,2
Gang Up!,1420668642,Gang Up! (2015),17986.35907484,10,3.4011973816621555,1.5
Retreat to Darkmoor,1457445393,Retreat to Darkmoor (2016),17905.6,14,3.8066624897703196,1.6667
Winds of Fortune,1438439693,Winds of Fortune (2015),17861,10,4.0943445622221,2
Spells of Doom,1404237668,Spells of Doom (2014),17795,12,4.0943445622221,3.1667
Bright Future,1416684841,Bright Future (2015),17771.84582346,12,4.787491742782046,2.9167
Argo,1454603212,Argo (2016),17729.6664132744,9,4.499809670330265,3
Buy The Rights,1447077926,Buy The Rights (2016),17550,14,4.0943445622221,2
BoardGameGeek: The Card Game,1418313664,BoardGameGeek: The Card Game (2015),17525,8,2.995732273553991,1.2222
Avalanche at Yeti Mountain,1441116054,Avalanche at Yeti Mountain (2016),17510,8,3.4011973816621555,1.25
Morocco,1444050114,Morocco (2016),17429,12,3.8066624897703196,2.5
Spearpoint 1943: Eastern Front,1386354969,Spearpoint 1943: Eastern Front (2015),17415,13,3.4011973816621555,1.3333
Barnyard Roundup,1468594687,Barnyard Roundup (2016),17380.52,6,2.995732273553991,2
Legacy: Gears of Time,1328492202,Legacy: Gears of Time (2012),17363.01,13,4.0943445622221,2.8077
Wilderness Empires,1414980098,Wilderness Empires (2015),17302,8,4.499809670330265,1.9091
New York 1776,1397323482,New York 1776 (2014),17175,13,4.787491742782046,2.3
Mr. Game!,1425913279,Mr. Game! (2015),17171,12,4.0943445622221,1
Monarch,1423510534,Monarch (2015),17160,12,3.912023005428146,1.8182
Templar Intrigue,1384213272,Templar Intrigue (2014),17157.71,13,3.4011973816621555,1.375
Renaissance Wars,1424272968,Renaissance Wars (2015),17089,12,4.499809670330265,3
Peptide: A Protein Building Game,1413387106,Peptide: A Protein Building Game (2014),16951,10,3.6888794541139363,1.8
Exile Sun,1327119787,Exile Sun (2012),16934.11,14,5.19295685089021,3
Twin Tin Bots,1365616944,Twin Tin Bots (2013),16865,10,3.912023005428146,2.3939
Shuffle Heroes,1438000138,Shuffle Heroes (2015),16834.21832096,10,3.4011973816621555,2.0909
Divorce! The Game,1409234424,Divorce! The Game (2015),16812.56,17,2.995732273553991,1.3333
Puerto Diablo,1411063185,Puerto Diablo (2015),16799.58130176,10,4.787491742782046,2
Nightmare Forest: Dead Run,1453962325,Nightmare Forest: Dead Run (2016),16762,8,3.6888794541139363,1.6667
Steam Court,1456328952,Steam Court (2015),16640.05,13,4.499809670330265,1.5
Ortus,1379696550,Ortus (2013),16522,12,3.4011973816621555,3
Terrene Odyssey,1404748489,Terrene Odyssey (2015),16511,12,2.995732273553991,2.3333
Cauldron Master,1488369691,Cauldron Master (2017),16482.254135136,8,3.4011973816621555,2
Intervention,1415633966,Intervention (2014),16465.99,18,3.4011973816621555,1
London Markets,1434125181,London Markets (2016),16459,10,4.0943445622221,2.3333
Black Market Warehouse,1399554248,Black Market Warehouse (2014),16446.42,8,3.4011973816621555,1.125
Stay Away!,1396368017,Stay Away! (2014),16440,12,4.0943445622221,1.2222
Top This! A Pizza Flicking Game,1338938574,Top This! A Pizza Flicking Game (2014),16431,6,3.4011973816621555,1
Coldwater Crown,1468846833,Coldwater Crown (2017),16398,13,4.499809670330265,2.2857
Evil Genius: Deathray,1434662148,Evil Genius: Deathray (2015),16290,8,4.0943445622221,1.3529
The Institute for Magical Arts,1407180783,The Institute for Magical Arts (2015),16281,8,3.4011973816621555,1.8235
Clockwork Kingdom,1411999176,Clockwork Kingdom (2015),16143.01,12,4.0943445622221,2.5
Cartoona,1329497997,Cartoona (2012),16107.19,3,3.4011973816621555,1.5455
Shadow Throne,1401719534,Shadow Throne (2014),16066,14,3.4011973816621555,1.8182
Impact City Roller Derby,1337699969,Impact City Roller Derby (2012),16062,12,4.787491742782046,2.4
Fell,1441385326,Fell (2016),16062,13,5.480638923341991,4
Cubist,1378488608,Cubist (2014),16007,7,3.8066624897703196,1.9677
Scoundrel Society,1434369674,Scoundrel Society (2015),15913,14,3.8066624897703196,1.75
Garden Dice,1333452634,Garden Dice (2012),15897,13,4.0943445622221,2.1077
Stipulations,1422543736,Stipulations (2015),15882,13,3.8066624897703196,1
Hangtown,1418369842,Hangtown (2015),15846,13,4.499809670330265,3.625
Sea Kings,1411089775,Sea Kings (2015),15755.99,10,3.8066624897703196,1
Expedite,1332552126,Expedite (2012),15750,14,3.4011973816621555,1.8571
NanoBot Battle Arena,1373990859,NanoBot Battle Arena (2014),15681.05,14,3.4011973816621555,1.8
Charms: A Game of Insight,1482759896,Charms: A Game of Insight (2017),15673,12,4.499809670330265,1
Glamazons vs The Curse of the Chainmail Bikini,1381161619,Glamazons vs The Curse of the Chainmail Bikini (2014),15574,13,3.4011973816621555,1
Let Them Eat Shrimp!,1392418523,Let Them Eat Shrimp! (2014),15552.94,8,2.995732273553991,1.5
Larceny,1377698710,Larceny (2013),15552,12,1.6094379124341003,1.25
Star Patrol: Carrier Commander,1441422143,Star Patrol: Carrier Commander (2015),15415.1,9,3.4011973816621555,1.3636
CLEVER,1385258514,CLEVER (2014),15403,6,2.70805020110221,1
Siege Warfare,1417213605,Siege Warfare (2015),15269,12,3.6888794541139363,3
We Have Goats!,1432616489,We Have Goats! (2015),15253,10,3.6888794541139363,2.3333
Hitman Holiday,1423584111,Hitman Holiday (2015),15230.8094729472,12,4.0943445622221,2.75
The Red Dragon's Lair,1394198248,The Red Dragon's Lair (2014),15208,9,4.787491742782046,1.6
Wrong Chemistry,1335877703,Wrong Chemistry (2012),15195,8,3.4011973816621555,1.5714
JammerUp: The Roller Derby Board Game,1328041123,JammerUp: The Roller Derby Board Game (2012),15141.45,8,4.0943445622221,2
Fealty,1311870124,Fealty (2011),15137.77,12,3.4011973816621555,2.4595
Tavern Fame,1434668905,Tavern Fame (2015),15132.41433834,10,3.4011973816621555,1
Scenarium,1405453587,Scenarium (2014),15121.99,13,3.4011973816621555,3
Empires of Zidal,1361570075,Empires of Zidal (2013),15119,12,4.0943445622221,3
Evil Spares None,1345435772,Evil Spares None (2012),15102.09,17,4.499809670330265,2
Warband: Against the Darkness,1407769272,Warband: Against the Darkness (2015),15060,10,4.0943445622221,2.7059
Feed the Shoggoth!,1402894626,Feed the Shoggoth! (2015),15058,14,4.0943445622221,2
Livestock Uprising,1389717907,Livestock Uprising (2014),15049,14,4.499809670330265,2.5385
Alienation,1451746123,Alienation (2016),15039,8,3.4011973816621555,1.1667
Dungeon Scroll,1392316821,Dungeon Scroll (2016),15035,10,3.4011973816621555,1.8
Escape the Nightmare,1445961574,Escape the Nightmare (2016),15000.927434817,12,2.70805020110221,2
One Night Ultimate Werewolf,1383641714,One Night Ultimate Werewolf (2014),14962,8,2.302585092994046,1.407
Magnum Opus,1374847534,Magnum Opus (2014),14930.01,12,4.0943445622221,2.5833
Codename: Oracle,1376496457,Codename: Oracle (2014),14930,13,3.4011973816621555,2
Flag Dash,1456844307,Flag Dash (2016),14901.52,10,3.6888794541139363,2.4
Colossal Cave: The Board Game,1334386830,Colossal Cave: The Board Game (2013),14815,12,4.0943445622221,1.6667
Wordwright,1448111547,Wordwright (2016),14794,8,4.0943445622221,1.25
Desert Island,1414432812,Desert Island (2015),14692,8,4.0943445622221,2
Jetpack Unicorn,1372876115,Jetpack Unicorn (2013),14634,12,2.70805020110221,1
Genegrafter,1321896056,Genegrafter (2012),14617.87,13,2.302585092994046,1.5
"I, Spy",1407228820,"I, Spy (2015)",14606,13,4.499809670330265,3.0455
Legends of the American Frontier,1376270819,Legends of the American Frontier (2016),14605.72,13,4.499809670330265,2.4286
Marauders,1348779468,Marauders (2012),14506,10,4.0943445622221,2.2857
Divided Republic,1314169012,Divided Republic (2012),14447.07,16,5.19295685089021,2.7391
Dino Dude Ranch,1432029878,Dino Dude Ranch (2016),14429,8,3.6888794541139363,1.5455
Nika,1390333577,Nika (2014),14401,8,3.4011973816621555,2.2
Yokai Battle,1455217189,Yokai Battle (2016),14373.87201822,14,3.4011973816621555,1
Pint Craft,1349832917,Pint Craft (2012),14357,21,4.0943445622221,1.8571
Dungeon Attack!,1374812663,Dungeon Attack! (2013),14336,10,2.70805020110221,1.5
Mutant Meeples,1319580567,Mutant Meeples (2012),14329,8,3.8066624897703196,2.4884
Rome: Rise to Power,1442328797,Rome: Rise to Power (2015),14327,13,4.0943445622221,2.2222
Deck of Thieves,1360921301,Deck of Thieves (2013),14320,13,3.8066624897703196,2.125
"Mage Tower, A Tower Defense Card Game",1342182255,"Mage Tower, A Tower Defense Card Game (2013)",14300.55,13,3.4011973816621555,2.8
Area 1851,1394726413,Area 1851 (2015),14184.53,14,4.0943445622221,2.2857
Birds of a Feather,1425997001,Birds of a Feather (2015),14104,9,2.70805020110221,1.2727
Xenon Profiteer,1430422724,Xenon Profiteer (2015),13845,10,3.4011973816621555,2.1765
Rock Paper Scissors Lizard Spock Dice,1337986785,Rock Paper Scissors Lizard Spock Dice (2012),13815.34,6,0,1.2
Great Scott!,1460548833,Great Scott! (2016),13650.46333338,11,3.8066624897703196,1
GEM,1441110818,GEM (2015),13647,10,2.70805020110221,2.1429
GemPacked Cards,1441110818,GemPacked Cards (2015),13647,6,2.995732273553991,1.375
Outsider,1438095283,Outsider (2015),13641,12,4.499809670330265,2
Pick the Lock,1446914836,Pick the Lock (2016),13566,6,3.4011973816621555,1.2
Zoneplex,1327311585,Zoneplex (2012),13459.65,13,4.0943445622221,2.5
Jewels,1448311234,Jewels (2016),13443.61261595,8,4.0943445622221,2.25
Dragon Caster,1370101176,Dragon Caster (2014),13441,12,3.4011973816621555,2
Super PACS,1453326184,Super PACS (2016),13434,14,4.0943445622221,1.5
Exposed,1461079816,Exposed (2016),13426.52,12,3.8066624897703196,1.6667
Rushi,1460654680,Rushi (2016),13379,6,4.0943445622221,1
Ghosts Love Candy,1401713829,Ghosts Love Candy (2016),13348,8,3.8066624897703196,2
RobotLab: The Card Game,1484119358,RobotLab: The Card Game (2017),13321.14,6,3.6888794541139363,1
Warparty,1317651294,Warparty (2013),13260,14,5.0106352940962555,2.7619
ApocalypZe Card Game,1367208116,ApocalypZe Card Game (2014),13245,13,3.8066624897703196,2
The Princess Bride: Prepare to Die,1368539232,The Princess Bride: Prepare to Die (2013),13243,8,2.70805020110221,1
Dumpster Brawl!,1414477234,Dumpster Brawl! (2015),13237,6,3.4011973816621555,2.2
Neolithic,1455643483,Neolithic (2016),13225,8,3.8066624897703196,2
Addictive Alchemy,1425445255,Addictive Alchemy (2015),13191,12,3.8066624897703196,2.2222
ManaSurge,1445961674,ManaSurge (2016),13160,14,3.8066624897703196,2
FrankenDie,1322079816,FrankenDie (2012),13127.3,6,2.70805020110221,1.3333
Convert,1371070819,Convert (2014),13118.12,6,2.302585092994046,1.8333
