term,nmodels,coef,freq
awesome,100,0.021094336456431217,0.20173281817117433
additional,100,0.019904884346455095,0.3835616438356164
mind,100,-0.018794078099928283,0.17749678023650625
aspect,100,-0.018629179059538273,0.08628966163212738
edition,100,0.018309307622894996,0.2654255941927175
release,100,0.017675103566502304,0.2602739726027397
base,100,-0.017630111488104793,0.48214494789837253
final,100,0.017517537017874823,0.307106896147992
card__player,100,-0.017222865581817622,0.016157358623112048
change,100,-0.014209934342661866,0.3171759747102213
role,100,0.013230910295646207,0.22187097529563282
time,100,0.013176614236189097,0.6638566912539515
stretch__goals,100,0.012152846838020401,0.14553330991687155
monster,100,0.01151366084571874,0.1532607423018382
low,100,-0.010533508742651968,0.17983842641376888
cool,100,0.010140878718694086,0.15618780002341645
type,100,-0.009590746222501315,0.21824142372087577
illustration,100,0.008734950115482091,0.12598056433672872
offer,100,0.00805250112719423,0.3698630136986301
expansion,100,0.007563444564496312,0.2252663622526636
box,100,-0.007046501747445217,0.3683409436834094
detail,100,0.005952226914660032,0.3016040276314249
5,100,0.002906491220737867,0.45463060531553684
d6__d8,99,0.33662662562881346,0.006907856222924716
level__3,99,-0.1749709995523711,0.009483667017913594
low__cost,99,-0.14646092746039693,0.012410724739491863
campaign__set,99,-0.14172787525883587,0.01767942863833275
super__fun,99,0.1328348072898032,0.0091324200913242
hinder,99,-0.09408240171314662,0.0182648401826484
3000,99,0.08879116062580537,0.02868516567146704
age__8,99,0.08450993075987194,0.01662568785856457
cube,99,0.0819938070189552,0.03126097646645592
kick__starter,99,-0.07270166299315729,0.008078679311556024
shuffle,99,-0.05672181404616863,0.0547945205479452
draft,99,0.051110564556402255,0.0612340475354174
youtube,99,-0.050487885423916704,0.039456738086875075
passion,99,-0.049079773313660896,0.06802482144947898
david,99,0.046503896757641223,0.05268703898840885
game__system,99,-0.045441535174273615,0.04542793583889474
tier,99,0.045134663819199554,0.12527807048354994
expensive,99,-0.036836155068801266,0.09729539866526168
crew,99,0.036578848800168554,0.052921203606135114
lot,99,-0.025123392071181503,0.3230300901533778
represent,99,-0.02101256504429577,0.1627444093197518
prove,99,0.02031086825510225,0.07024938531787847
option,99,0.019270799770112312,0.27350427350427353
artwork,99,-0.017916826909051574,0.2313546423135464
effect,99,-0.014975329184425203,0.12761971666081254
base__game,99,0.014922639340596618,0.08816297857393748
project,99,-0.011448758267241333,0.5638683994848378
micro__game,96,0.21383193879124254,0.007259103149514109
game__backer,96,-0.18935048821405606,0.006907856222924716
1__set,96,-0.17158114931532967,0.0076103500761035
cost__effective,96,-0.16109526642892913,0.009366584709050463
3_5__player,96,0.15613771311408667,0.008078679311556024
goal__unlock,96,0.13003761811775916,0.02084065097763728
simultaneously,96,-0.10266538229602647,0.03020723568668774
game__produce,96,-0.10180274416541657,0.0091324200913242
grade,96,0.10088576398148856,0.023533544081489288
2017,96,0.09779059375320698,0.03032431799555087
creativity,96,-0.08802905070904155,0.040744643484369514
sticker,96,0.08538821383491799,0.04191546657300082
rpg__system,96,-0.08499595562759024,0.010069078562229248
toy,96,-0.08191482276502887,0.040042149631190724
submit,96,-0.07951588878347274,0.03571010420325489
incredibly,96,0.07837573403472842,0.04472544198571596
board__games,96,0.07529847139401548,0.022011474066268587
ball,96,-0.06408571225587266,0.038520079615970024
logo,96,-0.06021319992148857,0.08757756702962183
alien,96,0.05693563612460407,0.0563165905631659
god,96,-0.05601651414665499,0.0749326776724037
design__game,96,0.0552251113080474,0.02095773328650041
bottom,96,0.039202350967387424,0.09846622175389298
dangerous,96,0.0356561142947503,0.0658002575810795
experience,96,0.025209172032362167,0.3209226085938415
luck,96,-0.020807044010713132,0.08851422550052687
2,96,-0.014046755730753492,0.5549701440112399
update,96,0.012046261990856122,0.282870858213324
reach,96,-0.008405315222858834,0.333918744877649
goal__unlocked,90,0.21991856173983396,0.011474066268586816
fun__family,90,-0.20766202755987553,0.003863716192483316
game__manual,90,-0.18184514059488918,0.0045662100456621
pledge__1,90,-0.1601426372949753,0.009600749326776724
game__review,90,-0.12347520129270084,0.0136986301369863
"30,000",90,-0.11963787535208781,0.03582718651211802
limit__edition,90,0.10644189884975898,0.01627444093197518
rahdo,90,0.10443496955495893,0.021894391757405457
funded,90,0.10053705783752268,0.02845100105374078
girl,90,0.08200230716791,0.03325137571712914
implement,90,-0.07935921553501156,0.021543144830816062
empty,90,0.07874028758446845,0.03020723568668774
colored,90,-0.07773333779424925,0.024587284861257466
entry,90,-0.07647657551614014,0.03571010420325489
3d__model,90,-0.07469065218378051,0.011239901650860555
player__move,90,-0.06684374550394558,0.011356983959723685
emerge,90,0.06009155577533196,0.027631424891698866
timeline,90,-0.05768201333770044,0.02868516567146704
endless,90,-0.04955283933508291,0.04542793583889474
founder,90,0.04485542219585299,0.04168130195527456
mass,90,-0.032561516447598436,0.05280412129727198
combination,90,0.02896121315602705,0.11907270811380401
highly,90,0.027863558722072638,0.1050228310502283
week,90,0.02388291755426055,0.10174452640206065
beast,90,0.01997449911116147,0.05350661515045077
team,90,-0.019456147395585967,0.2690551457674745
share,90,0.017397838829035263,0.24072122702259688
pass,90,-0.01584183731912508,0.121765601217656
life,90,-0.015459703273722715,0.29844280529212036
break,90,-0.00906829528779091,0.14049877063575694
3,90,-0.005194215485888718,0.48811614565039224
ne,90,-0.0022257278351268135,0.3981969324435078
2_4__players,86,-0.2849451504827273,0.00444912773679897
regular__deck,86,0.20956471120151177,0.003278304648167662
play__pdf,86,0.1987212185842802,0.00901533778246107
1__10,86,-0.15776428418225766,0.006439526987472193
design__studio,86,0.1312903852987652,0.004917456972251493
10__20,86,-0.07548619049029621,0.009366584709050463
locate,86,-0.07083668584011349,0.04203254888186395
switch,86,-0.06976806606730948,0.029504741833508957
player__control,86,0.06863432290313246,0.01779651094719588
playtesting,86,0.062018615965775334,0.03020723568668774
holiday,86,0.06150914075533119,0.03126097646645592
drawing,86,-0.05568823647029111,0.04332045427935839
diverse,86,-0.05456822150356921,0.03020723568668774
box__art,86,-0.054393285839391355,0.015689029387659526
game__salute,86,0.052819893721200065,0.01510361784334387
ride,86,0.05255244392720183,0.03243179955508722
150,86,0.04317837585877876,0.06603442219880576
describe,86,0.041334248520243304,0.07668891230535066
date,86,-0.028307754796172705,0.12223393045310854
25,86,-0.027732720508977023,0.22269055145767475
strategy__board,86,-0.027129695424851597,0.01053740779768177
role__playing,86,-0.024484988068952326,0.08921671935370566
capture,86,0.02365800090229662,0.07411310151036178
movement,86,-0.022169843021325002,0.0737618545837724
token,86,-0.02183873075626095,0.1612223393045311
form,86,-0.01871165499306332,0.19810326659641728
round,86,0.016481296608141106,0.19798618428755416
addition,86,0.016340279670838086,0.22280763376653787
award,86,0.014112082800932792,0.10104203254888186
building,86,0.013748898747054903,0.1297271982203489
total,86,-0.011833839306709372,0.2339304531085353
blue,86,0.006082575697719977,0.11684814424540452
9,86,0.006050269482633843,0.1654373024236038
additional__fund,81,0.12860243572956426,0.009249502400187331
5__8,81,-0.12121585611184281,0.0053857862077040155
custom__artwork,81,-0.1117823684919802,0.0053857862077040155
terrain__piece,81,-0.10745050231107144,0.008781173164734809
quad__fold,81,-0.1063949035886525,0.003863716192483316
gaming__system,81,-0.08196781129249332,0.009366584709050463
time__player,81,-0.08091079576992495,0.006439526987472193
universal,81,-0.07639395576190164,0.01685985247629083
future__expansion,81,-0.07038492308637158,0.012879053974944385
gmail.com,81,-0.057861515998426295,0.02236272099285798
tablet,81,-0.053564515424143026,0.017445264020606487
penalty,81,-0.04924088743116337,0.01814775787378527
entertaining,81,-0.04602877590063335,0.02119189790422667
3d__printer,81,-0.04117852572021256,0.012410724739491863
purple,81,0.0410737009357485,0.0414471373375483
numerous,81,-0.03996126555324817,0.0505795574288725
forge,81,0.038760760112577376,0.036998009600749324
rough,81,-0.03432586952419482,0.040042149631190724
ton,81,0.029052227406581338,0.06217070600632244
straight,81,-0.027943305281816298,0.05502868516567147
push,81,0.027465905675694288,0.07727432384966632
sweet,81,0.026364329144738474,0.03828591499824376
replace,81,0.024548834048160193,0.0810209577332865
draw__card,81,-0.019920087133323622,0.01662568785856457
goal,81,0.016326518687497203,0.6622175389298677
mini,81,0.014747865330372124,0.09577332865004098
collector,81,0.014489510466805463,0.06533192834562697
tabletop__game,81,-0.01272941195490252,0.07142020840650978
fire,81,0.012596117561111985,0.11134527572883737
fast__pace,81,-0.010553089727161319,0.07540100690785623
package,81,0.009286448815307694,0.15267533075752254
miniatures,81,0.007868816802346074,0.06533192834562697
character,81,0.0071656989402012206,0.33719704952581664
funding__amount,76,-0.21780785067440553,0.0029270577215782696
unique__world,76,-0.12314931414453414,0.0029270577215782696
advanced__technology,76,0.12222927928548055,0.003746633883620185
uncut__sheet,76,0.09417055885238294,0.007727432384966632
bounty__hunter,76,0.0834643795880243,0.005502868516567147
board__1,76,-0.08333914514776944,0.0076103500761035
score__win,76,-0.07787280050445743,0.005502868516567147
injection__mold,76,-0.07401754156526776,0.005268703898840885
30__card,76,-0.0738991494224957,0.0071420208406509774
tense,76,0.07175688099637806,0.013230300901533779
game__genre,76,-0.06827026383911482,0.0045662100456621
set__1,76,-0.06798587829358728,0.0106544901065449
rule__sheet,76,0.06424347061679903,0.012293642430628733
tired,76,-0.06347486619003781,0.015923194005385787
kickstarter__version,76,0.05833402608383268,0.009834913944502985
plastic__base,76,0.05629561206513181,0.010069078562229248
game__manufacturing,76,-0.05041358453746346,0.004332045427935839
bone,76,0.038268607330280036,0.030675564922140266
production__run,76,0.03774408453625316,0.02084065097763728
surprise,76,-0.03096083339282713,0.06041447137337548
player__create,76,0.03047885277428983,0.011591148577449948
lost,76,0.030288860400520614,0.036646762674159936
5__6,76,0.02834635312672673,0.01042032548881864
crowd,76,-0.027816380706187686,0.03430511649689732
backer__reward,76,0.0275749127293446,0.02376770869921555
exploration,76,0.02618032674373995,0.03301721109940288
guarantee,76,-0.025245944013031728,0.08031846388010772
breakdown,76,-0.024591521989561854,0.030909729539866527
gen__con,76,0.024235099610509254,0.02271396791944737
hot,76,0.02413924747540865,0.03161222339304531
balanced,76,-0.020203164243093055,0.02528977871443625
copyright,76,-0.01836259511048201,0.023533544081489288
300,76,-0.014965309599887608,0.0639269406392694
section,76,-0.014706970649792523,0.16918393630722398
purpose,76,0.014151920728377806,0.07785973539398197
month,76,0.01287080463438023,0.12469265893923429
figure,76,-0.011623201863936783,0.1529094953752488
shirt,76,-0.011363607644778746,0.08535300316122234
run,76,-0.011331093124595243,0.37641962299496545
studio,76,0.0087297836888337,0.0536236974593139
buy,76,-0.008568859577816085,0.18580962416578856
4,76,-0.006705706798450968,0.4398782343987823
page,76,0.005374127264065976,0.30300901533778246
control,76,-0.005341712583356096,0.18381922491511532
deliver,76,0.0030446962727994405,0.1696522655426765
amount,76,-0.0027556835606494363,0.3138976700620536
friendly,76,0.0026277264315117755,0.11556023884791009
18__card,72,-0.07203391369889751,0.005737033134293408
mailing__list,72,-0.0717629849136815,0.0053857862077040155
chess__set,72,-0.06498222442207,0.004097880810209577
board__include,72,-0.0634181300302117,0.003161222339304531
skill__set,72,0.052011699333241256,0.004332045427935839
player__aid,72,0.050136944428096034,0.008195761620419155
tabletop__gamer,72,-0.043618581195959814,0.008664090855871678
online__store,72,0.04346858302825669,0.011122819341997424
"4,000",72,0.0407863354247067,0.018499004800374662
main__goal,72,-0.038105926770502355,0.0121765601217656
warehouse,72,0.035808857174576096,0.02692893103852008
backer__pledge,72,-0.033696048620168166,0.013230300901533779
standard__edition,72,0.031141798162303228,0.009366584709050463
pdf__version,72,-0.0267463300508662,0.0243531202435312
celebrate,72,0.02503968429477979,0.02447020255239433
boss,72,0.02297630430819909,0.040978808102095775
andrew,72,0.021853324401966266,0.026577684111930688
responsible,72,-0.021592093652757872,0.05303828591499824
struggle,72,0.020101897939114318,0.05385786207704016
engrave,72,0.019093069256932337,0.02845100105374078
portion,72,-0.018003886643847812,0.033368458025992274
artistic,72,-0.01727579911168184,0.027514342582835735
2000,72,0.01666069638326533,0.03723217421847559
rely,72,-0.013205778135703873,0.031143894157592788
scene,72,0.012973365815554489,0.05889240135815478
humanity,72,0.012616468204450584,0.051399133590914414
kid,72,0.012306388027640518,0.10174452640206065
2nd,72,0.009597667939906898,0.05912656597588104
suit,72,-0.009403173232424587,0.0642781875658588
real,72,0.009329681441062311,0.1852242126214729
discard,72,-0.008271051504902269,0.06357569371268001
map,72,-0.007133196707016416,0.1567732115677321
feel__free,72,-0.007126464987750068,0.056433672872029036
attempt,72,0.007085316750314314,0.1026811848729657
weapon,72,-0.006404328470774824,0.1334738321039691
choice,72,-0.005353254968279936,0.2281934199742419
fit,72,0.0052373250018475665,0.1779651094719588
laser,72,0.005151569248733087,0.0502283105022831
process,72,0.0049950904231302155,0.18311673106193654
table,72,0.004697047381364227,0.300784451469383
phase,72,-0.0024903761211214786,0.07551808921671935
green__ronin,70,-0.07504158376667466,0.00597119775201967
gifted,70,-0.06322374846065665,0.007376185458377239
product__development,70,0.04772682720885212,0.005268703898840885
machine__gun,70,-0.02989992318536927,0.006322444678609062
goal__reach,70,0.029118753915360843,0.009834913944502985
injection,70,-0.022781280239662312,0.011474066268586816
unique__design,70,0.02215142267206809,0.006439526987472193
game__4,70,-0.021934520008374057,0.005502868516567147
racing__game,70,-0.018001364962120982,0.003746633883620185
fairly,70,-0.017152548923123134,0.029504741833508957
tiles,70,-0.01640319154577044,0.033602622643718535
closer,70,0.013581938841458118,0.01791359325605901
investment,70,0.012829889669359142,0.027865589509425127
companion,70,0.01265995483452386,0.04039339655778012
manufacturing__cost,70,-0.012113887060510597,0.007844514693829763
beta__version,70,0.011699982796079561,0.011005737033134294
money__raise,70,0.009531554503661482,0.01194239550403934
tile__set,70,-0.0092789283197477,0.007727432384966632
graphic__design,70,-0.009202461849000617,0.06416110525699567
lack,70,-0.008727141241492684,0.03524177496780236
layer,70,0.008691121493356076,0.03629551574757054
feeling,70,-0.008644140106931035,0.029036412598056435
sense,70,-0.008515749328964864,0.06661983374312141
sized__card,70,-0.008445721700032256,0.01358154782812317
pool,70,0.007406840523513375,0.04542793583889474
license,70,0.006163779313989662,0.05420910900362955
enable,70,-0.006110714040946108,0.0517503805175038
"25,000",70,-0.005866287897872499,0.03453928111462358
5000,70,0.005337274489543694,0.03418803418803419
steel,70,0.005334622353788957,0.030675564922140266
paint,70,0.0038226228746830906,0.12609764664559184
replay,70,0.0037218334508031907,0.12141435429106662
2016,70,0.0035314608477043765,0.07739140615852945
accurate,70,0.003508118703560036,0.0258751902587519
avatar,70,0.0034979336956990383,0.04051047886664325
limited,70,0.0034568482481746265,0.1882683526519143
file,70,-0.0032484241609949784,0.09752956328298794
charge,70,0.0031457168881077755,0.17890176794286383
villager,70,0.002852384636022611,0.009366584709050463
trick,70,0.0025909530960734847,0.04214963119072708
visit,70,0.0020083181274178166,0.12504390586582367
ruin,70,0.001377333849155014,0.05198454513523006
achieve,70,9.677778310746176e-4,0.12621472895445499
size,70,7.523821706972152e-4,0.24423369628849081
video,70,-4.8354859989820163e-4,0.3635405690200211
1,29,-0.0026910903871065544,0.5315536822386138
opponent,24,-0.0025017425939135593,0.1955274558014284
level__1,14,-0.015987491891612752,0.018850251726964057
playing__card,1,-0.003006629475100224,0.06498068141903758
shipping,1,9.7117284498033e-4,0.43765367053038284
